,NAME,S1701_C01_001E,S1703_C01_001E,S2201_C01_001E,S0101_C01_024E,S0101_C01_022E,S0101_C01_028E,S0101_C02_032E,S2301_C01_001E,state
1,Mississippi,2877843,2877843,1100229,1163284,698420,677549,-888888888,2360508,28
2,Missouri,5953025,5953025,2458337,2373658,1372695,1474792,-888888888,4918035,29
3,Montana,1042682,1042682,437651,403963,226524,286567,-888888888,869402,30
4,Nebraska,1877629,1877629,771444,765375,475096,434707,-888888888,1509290,31
5,Nevada,3037199,3037199,1143557,1226893,690737,683072,-888888888,2465233,32
6,New Hampshire,1316495,1316495,541396,501765,256020,357103,-888888888,1137316,33
7,New Jersey,8712974,8712974,3286264,3383802,1938024,2078439,-888888888,7168432,34
8,New Mexico,2053305,2053305,793420,817379,473850,518073,-888888888,1678187,35
9,New York,18932499,18932499,7446812,7748123,4022096,4577889,-888888888,15895561,36
10,North Carolina,10199239,10199239,4046348,4116518,2293972,2409072,-888888888,8457219,37
11,North Dakota,738814,738814,323519,321363,176706,167040,-888888888,602982,38
12,Ohio,11362386,11362386,4730340,4458911,2574847,2856225,-888888888,9407641,39
13,Oklahoma,3841763,3841763,1495151,1582215,952229,878011,-888888888,3110626,40
14,Oregon,4136542,4136542,1649352,1689407,862816,1043811,-888888888,3451654,41
15,Pennsylvania,12387178,12387178,5119249,4825067,2632325,3301963,-888888888,10474419,42
16,Rhode Island,1018586,1018586,407174,418493,203575,265058,-888888888,880978,44
17,South Carolina,5003235,5003235,1975915,1960337,1112300,1275913,-888888888,4158317,45
18,South Dakota,854648,854648,353799,336155,215269,212172,-888888888,692113,46
19,Tennessee,6656385,6656385,2654737,2662939,1510752,1577586,-888888888,5487875,47
20,Texas,28361423,28361423,9985126,12263484,7396631,5324526,-888888888,22425612,48
21,Vermont,599030,599030,262767,233748,113559,175684,-888888888,525153,50
22,Utah,3157996,3157996,1023855,1438677,930308,518522,-888888888,2378652,49
23,Virginia,8279357,8279357,3191847,3418104,1857605,1902159,-888888888,6880704,51
24,Washington,7470152,7470152,2932477,3131354,1662965,1690242,-888888888,6128444,53
25,West Virginia,1739050,1739050,728175,647265,358818,501753,-888888888,1476688,54
26,Wisconsin,5675557,5675557,2386623,2218453,1263412,1428853,-888888888,4707424,55
27,Wyoming,563528,563528,233128,226697,134189,138116,-888888888,458477,56
28,Puerto Rico,3167190,3167190,1170982,1213716,572734,892571,-888888888,2699404,72
29,Georgia,10332523,10332523,3852714,4321080,2503029,2137322,-888888888,8394269,13
30,Idaho,1753946,1753946,655859,706209,449355,403404,-888888888,1386665,16
31,Hawaii,1379078,1379078,465299,547711,300187,360166,-888888888,1147569,15
32,Illinois,12373209,12373209,4866006,5048120,2814679,2862069,-888888888,10184783,17
33,Indiana,6517430,6517430,2597765,2644879,1567421,1516393,-888888888,5346452,18
34,Iowa,3058938,3058938,1287221,1224288,721830,761777,-888888888,2516898,19
35,Kansas,2826818,2826818,1138329,1152005,700301,668797,-888888888,2292476,20
36,Kentucky,4326675,4326675,1748732,1722676,1001825,1056886,-888888888,3581569,21
37,Louisiana,4515876,4515876,1741076,1850579,1084886,1049512,-888888888,3684053,22
38,Maine,1304100,1304100,573618,470349,246353,394575,-888888888,1128168,23
39,Maryland,5898360,5898360,2226767,2360833,1332287,1367175,-888888888,4862424,24
40,Massachusetts,6656430,6656430,2650680,2777994,1351777,1630322,-888888888,5707254,25
41,Michigan,9772151,9772151,3969880,3804038,2142822,2464173,-888888888,8095913,26
42,Minnesota,5515416,5515416,2222568,2204709,1302669,1291944,-888888888,4479456,27
43,Connecticut,3460446,3460446,1377166,1350085,727432,885407,-888888888,2926854,09
44,Florida,21048884,21048884,7905832,7860502,4231955,5920539,-888888888,17719854,12
45,Alabama,4781688,4781688,1897576,1887552,1085597,1186229,-888888888,3937453,01
46,Alaska,713725,713725,252199,305180,179749,136500,-888888888,569699,02
47,Arizona,7116266,7116266,2670441,2874672,1639648,1746326,-888888888,5820607,04
48,Arkansas,2929117,2929117,1163647,1167142,699012,717809,-888888888,2401299,05
49,California,38733295,38733295,13157873,16521203,8891064,8166156,-888888888,31617786,06
50,Colorado,5637904,5637904,2235103,2458800,1256320,1199263,-888888888,4645780,08
51,Delaware,944955,944955,376239,360247,203946,260433,-888888888,792119,10
52,District of Columbia,673041,673041,291570,361242,127901,120007,-888888888,587819,11
