NAME,2019
Alabama,203383.9
Alaska,53336.5
Arizona,323894.3
Arkansas,116790.9
California,2739343.4
Colorado,356773.6
Connecticut,251495.1
Delaware,64262.4
District of Columbia,124990.3
Florida,971619.2
Georgia,558277.3
Hawaii,79175.4
Idaho,73912.0
Illinois,777653.8
Indiana,338350.1
Iowa,172906.0
Kansas,160182.3
Kentucky,191355.5
Louisiana,235947.6
Maine,59433.9
Maryland,369623.9
Massachusetts,517727.1
Michigan,467300.2
Minnesota,340130.4
Mississippi,101525.1
Missouri,290842.0
Montana,46788.0
Nebraska,118286.5
Nevada,156828.8
New Hampshire,77126.5
New Jersey,561842.8
New Mexico,94872.3
New York,1494736.4
North Carolina,514624.9
North Dakota,56247.0
Ohio,611145.8
Oklahoma,200710.9
Oregon,219458.2
Pennsylvania,716173.4
Rhode Island,53225.0
South Carolina,212482.8
South Dakota,46641.0
Tennessee,329111.6
Texas,1785317.9
Utah,171134.7
Vermont,29902.8
Virginia,487251.6
Washington,535980.5
West Virginia,72542.9
Wisconsin,303891.2
Wyoming,38628.4
New England,988892.2
Mideast,3332614.5
Great Lakes,2498312.1
Plains,1185380.0
Southeast,3997218.3
Southwest,2406074.0
Rocky Mountain,688174.4
Far West,3784764.2
